Label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Russian Federation,528220,535627,503757,508561,510356,526357,516659,523646,636003,727443,801548,746531,789165,826313,900074,888721,858012,863613,894817,761962,570128,752208,688505,1069581,915773,1053694,1022223,1261410.152,1251487.235,1274421.873,1094082.724
Algeria,423200,542637,579856,531102,445088,664352,731109,775030,869442,1021156,1071372,930135,920420,935774,976579,1046378,1049617,936650,990295,863727,1054227,874471,836409,476936,258204,291160,734797,743354.051,684669.421,509229.551,575992.371
Netherlands,226738,203104,233264,206083,169714,137967,169591,190462,114948,109309,231915,266776,298133,290703,307619,306324,357073,306248,268605,162992,120510,138951,93955,105956,248793,187300,104470,46190.687,51030.835,65521.18,34829.191
Libya,0,0,0,0,2019,0,0,0,0,0,0,0,0,0,19850,171183,293065,352082,376085,349301,358178,89116,246469,217361,248145,269748,184404,176819.814,170169.421,217199.147,169926.076
Norway,0,0,0,0,0,0,0,0,0,0,0,46520,186080,191643,197739,218046,218885,212636,210884,158496,113805,139103,107175,76352,101575,99974,37148,99031.577,120363.615,233956.517,281841.054
Qatar,0,0,0,0,0,0,0,0,0,1562,0,0,0,0,0,0,0,0,0,60617,234467,236411,225743,202768,167145,218885,210350,256707.284,248978.014,249557.819,264570.439
Not specified,0,0,0,0,0,0,0,0,0,0,0,305,35890,100282,142762,137351,84620,76238,119367,126651,166002,161507,125120,74524,57454,65456,67513,41826.409,0,0,
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39929,41529,44387,68466,61874,109080,110642,80086,64427,87363,72123,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54407,135103,137693,91288,41415,40157,41148,23965,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46749,28499,24194,31814,17145,9982,9487,13983,14364,13868,14440,7165.2,3989.68,1587.437,1245.756
Other,0,0,0,0,0,0,0,0,4420,7658,0,0,29337,47739,42672,30823,953,0,0,0,39548,32537,45530,1943,8305,4876,12382,15076.018,51861.072000000015,149485.46600000001,100191.15099999998
